,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,Aaron Ramsey,WAL,MF,27,1990,14.8,807,775,26,10,5,9,15,13,1,0,0,0,652,6,27
ENG-Premier League,1819,Arsenal,Ainsley Maitland-Niles,ENG,DF,20,1997,11.0,575,464,109,5,0,4,18,104,0,0,0,0,453,2,16
ENG-Premier League,1819,Arsenal,Alex Iwobi,NGA,"FW,MF",22,1996,21.9,1028,1006,17,1,3,10,57,15,1,0,0,0,767,5,34
ENG-Premier League,1819,Arsenal,Alexandre Lacazette,FRA,FW,27,1991,27.8,807,753,52,0,10,4,29,5,0,0,0,0,581,2,39
ENG-Premier League,1819,Arsenal,Bernd Leno,GER,GK,26,1992,31.5,1105,773,330,103,0,4,0,0,0,0,0,0,817,2,2
ENG-Premier League,1819,Arsenal,Bukayo Saka,ENG,FW,16,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,1819,Arsenal,Carl Jenkinson,ENG,DF,26,1992,1.8,91,78,13,0,0,0,3,13,0,0,0,0,71,0,5
ENG-Premier League,1819,Arsenal,Danny Welbeck,ENG,"FW,MF",27,1990,1.7,54,53,1,0,0,0,0,0,0,0,0,0,40,0,2
ENG-Premier League,1819,Arsenal,Denis Suárez,ESP,"MF,FW",24,1994,0.8,36,33,2,1,0,0,0,1,0,0,0,0,32,1,2
ENG-Premier League,1819,Arsenal,Eddie Nketiah,ENG,"MF,FW",19,1999,0.7,21,19,1,0,0,0,0,0,0,0,0,0,18,1,1
ENG-Premier League,1819,Arsenal,Granit Xhaka,SUI,"MF,DF",25,1992,27.8,2425,2184,228,95,5,30,129,38,95,38,39,0,1981,13,32
ENG-Premier League,1819,Arsenal,Henrikh Mkhitaryan,ARM,"FW,MF",29,1989,18.2,876,802,68,11,5,1,63,11,46,7,10,0,655,6,32
ENG-Premier League,1819,Arsenal,Héctor Bellerín,ESP,DF,23,1995,17.0,958,815,141,9,6,0,39,132,0,0,0,0,794,2,26
ENG-Premier League,1819,Arsenal,Joe Willock,ENG,"MF,FW",18,1999,0.7,15,15,0,0,0,1,0,0,0,0,0,0,12,0,1
ENG-Premier League,1819,Arsenal,Konstantinos Mavropanos,GRE,DF,20,1997,1.6,137,135,2,2,0,6,0,0,0,0,0,0,127,0,1
ENG-Premier League,1819,Arsenal,Laurent Koscielny,FRA,DF,32,1985,14.8,895,860,32,31,0,11,0,1,0,0,0,0,820,3,6
ENG-Premier League,1819,Arsenal,Lucas Torreira,URU,MF,22,1996,26.5,1632,1557,68,38,2,10,28,7,23,5,6,1,1405,7,24
ENG-Premier League,1819,Arsenal,Mattéo Guendouzi,FRA,MF,19,1999,23.9,1625,1578,41,33,9,12,15,6,2,0,0,0,1409,6,33
ENG-Premier League,1819,Arsenal,Mesut Özil,GER,"MF,FW",29,1988,19.3,1177,1092,75,28,7,2,42,7,38,8,9,1,1016,10,14
ENG-Premier League,1819,Arsenal,Mohamed Elneny,EGY,MF,26,1992,4.2,286,276,8,5,2,1,3,3,0,0,0,0,256,2,4
ENG-Premier League,1819,Arsenal,Nacho Monreal,ESP,DF,32,1986,20.7,1337,1175,162,21,0,3,28,141,0,0,0,0,1146,0,30
ENG-Premier League,1819,Arsenal,Petr Čech,CZE,GK,36,1982,6.5,270,193,77,24,0,1,0,0,0,0,0,0,198,0,0
ENG-Premier League,1819,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,29,1989,30.3,744,701,37,0,3,1,43,3,0,0,0,0,524,6,28
ENG-Premier League,1819,Arsenal,Rob Holding,ENG,DF,22,1995,9.0,618,603,15,12,0,12,1,3,0,0,0,0,540,0,2
ENG-Premier League,1819,Arsenal,Sead Kolašinac,BIH,"DF,MF",25,1993,21.0,1229,1008,216,11,3,4,51,202,3,1,1,0,951,5,49
ENG-Premier League,1819,Arsenal,Shkodran Mustafi,GER,DF,26,1992,29.0,1810,1724,81,52,4,12,11,29,0,0,0,0,1465,5,16
ENG-Premier League,1819,Arsenal,Sokratis Papastathopoulos,GRE,DF,30,1988,24.4,1395,1343,48,44,1,13,0,4,0,0,0,0,1244,4,4
ENG-Premier League,1819,Arsenal,Stephan Lichtsteiner,SUI,DF,34,1984,10.4,596,503,92,7,0,1,30,85,0,0,0,0,451,1,23
ENG-Premier League,1819,Bournemouth,Adam Smith,ENG,"DF,MF",27,1991,23.0,1074,867,205,21,0,0,22,178,6,0,0,0,863,2,27
ENG-Premier League,1819,Bournemouth,Andrew Surman,ENG,MF,31,1986,16.0,842,811,29,26,2,9,1,1,1,0,0,0,731,2,11
ENG-Premier League,1819,Bournemouth,Artur Boruc,POL,GK,38,1980,12.0,350,190,158,46,0,0,0,0,0,0,0,0,225,2,0
ENG-Premier League,1819,Bournemouth,Asmir Begović,BIH,GK,31,1987,24.0,659,396,262,70,0,0,0,0,0,0,0,0,450,1,0
ENG-Premier League,1819,Bournemouth,Callum Wilson,ENG,FW,26,1992,28.1,464,441,21,0,2,1,20,1,1,0,0,0,303,2,31
ENG-Premier League,1819,Bournemouth,Charlie Daniels,ENG,DF,31,1986,17.6,1024,829,190,36,1,6,27,152,2,0,0,0,799,5,21
ENG-Premier League,1819,Bournemouth,Chris Mepham,WAL,DF,20,1997,9.4,412,391,20,15,0,0,1,5,0,0,0,0,326,1,4
ENG-Premier League,1819,Bournemouth,Dan Gosling,ENG,MF,28,1990,19.3,980,950,29,22,3,5,6,3,0,0,0,0,776,1,25
ENG-Premier League,1819,Bournemouth,David Brooks,WAL,"MF,FW",21,1997,25.1,899,833,62,13,16,3,33,7,19,13,0,0,640,4,42
ENG-Premier League,1819,Bournemouth,Diego Rico,ESP,"DF,MF",25,1993,6.8,388,297,88,15,0,2,39,61,12,7,3,0,272,3,16
ENG-Premier League,1819,Bournemouth,Dominic Solanke,ENG,"FW,MF",20,1997,3.9,100,97,3,0,1,0,1,0,0,0,0,0,71,0,5
ENG-Premier League,1819,Bournemouth,Emerson Hyndman,USA,MF,22,1996,0.4,23,23,0,0,0,0,0,0,0,0,0,0,16,0,1
ENG-Premier League,1819,Bournemouth,Jack Simpson,ENG,DF,21,1996,4.5,242,231,11,5,0,0,0,6,0,0,0,0,198,0,2
ENG-Premier League,1819,Bournemouth,Jefferson Lerma,COL,MF,23,1994,27.8,1568,1538,27,27,3,14,4,0,0,0,0,0,1301,3,27
ENG-Premier League,1819,Bournemouth,Jermain Defoe,ENG,FW,35,1982,0.3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0
ENG-Premier League,1819,Bournemouth,Jordon Ibe,ENG,"MF,DF",22,1995,8.9,288,270,16,1,2,1,27,9,6,1,3,0,213,2,19
ENG-Premier League,1819,Bournemouth,Joshua King,NOR,"FW,MF",26,1992,32.9,858,830,21,0,11,2,43,5,1,0,0,0,588,7,28
ENG-Premier League,1819,Bournemouth,Junior Stanislas,ENG,"MF,FW",28,1989,11.5,548,491,57,11,4,2,37,15,26,9,9,0,405,0,29
ENG-Premier League,1819,Bournemouth,Lewis Cook,ENG,MF,21,1997,8.0,407,397,8,5,1,6,10,3,0,0,0,0,329,2,11
ENG-Premier League,1819,Bournemouth,Lys Mousset,FRA,FW,22,1996,4.1,124,112,12,0,2,0,3,0,0,0,0,0,87,0,4
ENG-Premier League,1819,Bournemouth,Mark Travers,IRL,GK,19,1999,2.0,56,38,18,4,0,0,0,0,0,0,0,0,41,0,1
ENG-Premier League,1819,Bournemouth,Nathan Aké,NED,DF,23,1995,37.9,1733,1646,85,56,1,6,6,29,0,0,0,0,1491,2,14
ENG-Premier League,1819,Bournemouth,Nathaniel Clyne,ENG,DF,27,1991,12.7,595,472,121,5,2,1,18,116,0,0,0,0,451,2,21
ENG-Premier League,1819,Bournemouth,Ryan Fraser,SCO,"MF,FW",24,1994,35.2,1490,1268,215,57,6,8,271,17,116,44,43,2,1013,7,60
ENG-Premier League,1819,Bournemouth,Sam Surridge,ENG,"MF,FW",20,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1
ENG-Premier League,1819,Bournemouth,Simon Francis,ENG,DF,33,1985,13.7,812,673,136,12,0,3,32,123,1,0,0,0,590,3,23
ENG-Premier League,1819,Bournemouth,Steve Cook,ENG,DF,27,1991,31.0,1610,1447,157,64,0,15,11,93,0,0,0,0,1243,6,10
ENG-Premier League,1819,Bournemouth,Tyrone Mings,ENG,DF,25,1993,1.6,96,87,9,1,0,0,1,8,0,0,0,0,79,0,2
ENG-Premier League,1819,Brighton,Alireza Jahanbakhsh,IRN,"FW,MF",24,1993,11.3,308,289,15,6,1,3,23,4,5,2,0,2,201,4,17
ENG-Premier League,1819,Brighton,Anthony Knockaert,FRA,"MF,FW",26,1991,20.4,736,635,96,42,1,16,107,8,46,19,26,0,519,5,14
ENG-Premier League,1819,Brighton,Beram Kayal,ISR,MF,30,1988,10.4,283,269,12,0,1,2,10,0,2,0,1,1,194,2,8
ENG-Premier League,1819,Brighton,Bernardo,BRA,DF,23,1995,19.5,1029,803,223,13,0,2,31,210,0,0,0,0,729,3,33
ENG-Premier League,1819,Brighton,Bruno,ESP,DF,37,1980,12.6,645,520,124,6,0,1,17,117,1,0,0,0,507,1,7
ENG-Premier League,1819,Brighton,Dale Stephens,ENG,MF,29,1989,27.6,1365,1336,22,7,1,23,2,3,0,0,0,0,1136,7,24
ENG-Premier League,1819,Brighton,David Button,ENG,GK,29,1989,4.0,108,63,45,11,0,0,0,0,0,0,0,0,46,0,0
ENG-Premier League,1819,Brighton,Davy Pröpper,NED,MF,26,1991,28.3,1243,1214,15,3,2,15,16,0,0,0,0,0,973,14,25
ENG-Premier League,1819,Brighton,Florin Andone,ROU,FW,25,1993,9.8,170,164,6,0,0,0,5,0,0,0,0,0,113,0,8
ENG-Premier League,1819,Brighton,Gaëtan Bong,CMR,DF,30,1988,20.1,888,646,240,13,0,2,57,227,0,0,0,0,603,2,26
ENG-Premier League,1819,Brighton,Glenn Murray,ENG,FW,34,1983,27.9,618,603,11,1,0,1,8,0,0,0,0,0,353,4,12
ENG-Premier League,1819,Brighton,José Izquierdo,COL,"MF,FW",26,1992,8.8,216,211,3,0,0,0,6,3,0,0,0,0,156,2,8
ENG-Premier League,1819,Brighton,Jürgen Locadia,NED,"FW,MF",24,1993,13.7,348,340,7,0,0,10,12,4,0,0,0,0,249,1,6
ENG-Premier League,1819,Brighton,Leon Balogun,NGA,DF,30,1988,6.6,222,212,8,4,0,0,0,4,0,0,0,0,168,2,4
ENG-Premier League,1819,Brighton,Lewis Dunk,ENG,DF,26,1991,35.0,1510,1456,49,36,2,49,2,13,0,0,0,0,1246,5,16
ENG-Premier League,1819,Brighton,Martín Montoya,ESP,DF,27,1991,24.1,1152,887,264,7,1,3,36,257,0,0,0,0,900,1,25
ENG-Premier League,1819,Brighton,Mathew Ryan,AUS,GK,26,1992,34.0,1032,623,403,79,0,1,0,0,0,0,0,0,564,6,1
ENG-Premier League,1819,Brighton,Pascal Groß,GER,"MF,FW",27,1991,20.7,965,821,134,50,2,25,142,3,61,44,10,1,661,10,24
ENG-Premier League,1819,Brighton,Shane Duffy,IRL,DF,26,1992,34.3,1318,1281,31,26,0,18,2,5,0,0,0,0,987,6,5
ENG-Premier League,1819,Brighton,Solly March,ENG,"FW,MF",24,1994,27.4,938,845,84,24,1,12,152,21,38,25,4,0,598,9,67
ENG-Premier League,1819,Brighton,Yves Bissouma,MLI,MF,21,1996,19.7,730,694,30,2,3,5,8,1,3,0,3,0,588,6,12
ENG-Premier League,1819,Burnley,Aaron Lennon,ENG,MF,31,1987,13.5,307,301,5,0,1,0,23,5,0,0,0,0,227,1,15
ENG-Premier League,1819,Burnley,Ashley Barnes,ENG,FW,28,1989,26.5,534,513,12,1,5,1,6,1,1,1,0,0,308,9,18
ENG-Premier League,1819,Burnley,Ashley Westwood,ENG,MF,28,1990,31.4,1525,1375,134,39,5,17,87,4,42,35,0,5,1118,16,23
ENG-Premier League,1819,Burnley,Ben Gibson,ENG,DF,25,1993,0.7,34,33,1,0,0,0,0,1,0,0,0,0,23,0,1
ENG-Premier League,1819,Burnley,Ben Mee,ENG,DF,28,1989,38.0,1522,1477,37,29,1,12,4,8,0,0,0,0,1134,8,16
ENG-Premier League,1819,Burnley,Charlie Taylor,ENG,DF,24,1993,36.0,1722,1272,441,17,0,5,119,420,4,4,0,0,1233,9,62
